# Written by gates/watchdog.mjs on every completed deploy. Never edited by hand,
# never backfilled. A deploy with no row here was watched by something else, or not watched.
startedUtc	liveUtc	darkSeconds	services	mcpTools	codeHash	marker
2026-07-29T13:30:08.932Z	2026-07-29T13:32:51.369Z	0	22	9	q1-e1fa99d08887d6cc	call:size_gate:snark
2026-07-30T13:21:25.769Z	2026-07-30T13:23:33.489Z	0	22	9	q1-e1fa99d08887d6cc	call:lp_risk:snark
2026-07-30T13:35:58.153Z	2026-07-30T13:38:37.007Z	0	22	9	q1-e1fa99d08887d6cc	get:/proof/vk/lpbracket:verificationKey` FIELD
2026-07-30T13:45:25.551Z	2026-07-30T13:47:33.733Z	0	22	9	q1-e1fa99d08887d6cc	get:/proof/ea18edacd91ca2079213ee570e06b66369699f22bed0615a08da576c2ad07a33:verificationKey` FIELD
2026-07-30T22:29:44.000Z	2026-07-30T22:32:01.932Z	0	22	9	q1-e1fa99d08887d6cc	get:/api/lp-risk:USD₮0
2026-07-30T22:59:02.102Z	2026-07-30T23:01:08.358Z	0	22	9	q1-e1fa99d08887d6cc	get:/changelog:the input-attestation census is confirmed
2026-07-31T06:12:01.469Z	2026-07-31T06:15:16.442Z	0	22	9	q1-e1fa99d08887d6cc	get:/proof/abc:Known circuits
2026-08-01T10:43:02.895Z	2026-08-01T10:45:24.924Z	0	22	9	q1-e1fa99d08887d6cc	get:/changelog:delisted by OKX
2026-08-01T11:06:38.873Z	2026-08-01T11:08:56.378Z	0	22	9	q1-e1fa99d08887d6cc	get:/changelog:one character in a header crashed the container
2026-08-01T11:20:05.010Z	2026-08-01T11:22:12.657Z	0	22	9	q1-e1fa99d08887d6cc	get:/changelog:22 of 22 delivered and settled
2026-08-01T11:31:09.969Z	2026-08-01T11:33:16.846Z	0	22	9	q1-e1fa99d08887d6cc	get:/changelog:closing two ways this could have been delisted again
